iter	RMSE
0	14.1722398
1	13.28355425
2	12.45171167
3	11.69563647
4	11.01047125
5	10.43522868
6	9.92672644
7	9.47366516
8	9.039700617
9	8.642312131
10	8.2597805
11	7.954927412
12	7.675333449
13	7.40009695
14	7.15411198
15	6.940091058
16	6.779835343
17	6.611043462
18	6.468259181
19	6.332611325
20	6.224731298
21	6.127692994
22	6.020050341
23	5.937987667
24	5.856858535
25	5.777454867
26	5.703744609
27	5.659722204
28	5.598591945
29	5.555721431
30	5.51518099
31	5.474967311
32	5.431154144
33	5.401547245
34	5.362168519
35	5.34699373
36	5.323484922
37	5.29397707
38	5.269304468
39	5.246953694
40	5.217018773
41	5.200556128
42	5.17796992
43	5.153531457
44	5.136613077
45	5.125226653
46	5.113872368
47	5.098519736
48	5.078299235
49	5.064051745
50	5.049114834
51	5.029601936
52	5.016948956
53	5.005230405
54	4.998942047
55	4.972201547
56	4.965618127
57	4.956188502
58	4.9474562
59	4.931178675
60	4.915267835
61	4.907454799
62	4.893942911
63	4.879484994
64	4.856493497
65	4.847578104
66	4.826498284
67	4.81195183
68	4.796219101
69	4.789933947
70	4.786571282
71	4.775938457
72	4.768526741
73	4.7537404
74	4.740859347
75	4.726381991
76	4.713746858
77	4.707243718
78	4.702977233
79	4.683971528
80	4.679706856
81	4.66734756
82	4.663245196
83	4.656383646
84	4.639314367
85	4.627466675
86	4.608832744
87	4.598399712
88	4.588805083
89	4.57790611
90	4.577567302
91	4.573010292
92	4.56510556
93	4.555165393
94	4.55294346
95	4.540081255
96	4.532154661
97	4.526540221
98	4.522583729
99	4.51741565
