iter	Passed	Remaining
0	1	160
1	2	146
2	5	185
3	7	189
4	9	176
5	10	168
6	12	161
7	13	156
8	16	165
9	17	161
10	19	156
11	20	152
12	22	149
13	23	145
14	25	142
15	27	142
16	28	140
17	30	137
18	31	136
19	33	133
20	35	132
21	36	129
22	37	126
23	39	125
24	40	122
25	42	120
26	43	118
27	44	115
28	46	112
29	47	110
30	49	109
31	50	107
32	52	106
33	53	104
34	55	103
35	56	100
36	58	99
37	60	98
38	61	96
39	63	94
40	64	93
41	66	91
42	67	90
43	69	88
44	71	87
45	73	85
46	74	84
47	76	82
48	78	81
49	79	79
50	81	77
51	82	75
52	83	74
53	85	72
54	86	71
55	88	69
56	89	67
57	90	65
58	91	63
59	93	62
60	94	60
61	96	58
62	97	57
63	97	55
64	99	53
65	100	51
66	101	50
67	103	48
68	104	46
69	105	45
70	106	43
71	108	42
72	109	40
73	110	38
74	111	37
75	113	35
76	114	34
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	123	23
84	125	22
85	126	20
86	127	19
87	128	17
88	130	16
89	131	14
90	132	13
91	133	11
92	134	10
93	136	8
94	137	7
95	138	5
96	140	4
97	141	2
98	142	1
99	143	0
