iter	RMSE
0	14.75059897
1	14.38963094
2	14.0654954
3	13.72623594
4	13.41201033
5	13.13965391
6	12.84113035
7	12.57845257
8	12.319326
9	12.03007535
10	11.74700806
11	11.49859238
12	11.25238671
13	11.05486677
14	10.81892491
15	10.58321318
16	10.36278009
17	10.16311441
18	9.95745608
19	9.775681355
20	9.600010931
21	9.426544975
22	9.263632254
23	9.090165805
24	8.929528903
25	8.784795957
26	8.651420077
27	8.512273344
28	8.372774083
29	8.251460427
30	8.148123326
31	8.01546121
32	7.901725384
33	7.800765731
34	7.68524486
35	7.58105371
36	7.482318066
37	7.395766121
38	7.304539877
39	7.219700607
40	7.14503941
41	7.068896905
42	6.991050502
43	6.922777503
44	6.850834988
45	6.784642969
46	6.721275171
47	6.663164042
48	6.596760514
49	6.537711639
50	6.482937552
51	6.426690295
52	6.37260411
53	6.32111505
54	6.268062577
55	6.219220442
56	6.176426869
57	6.140341251
58	6.103140324
59	6.067728086
60	6.031379579
61	5.99215276
62	5.959823477
63	5.927470051
64	5.895083948
65	5.867893529
66	5.840835221
67	5.809215707
68	5.779978973
69	5.751418312
70	5.725008532
71	5.70482697
72	5.683711648
73	5.6602389
74	5.640779404
75	5.614587841
76	5.594256334
77	5.578054671
78	5.561556187
79	5.542523997
80	5.526070496
81	5.510731254
82	5.494492521
83	5.480321787
84	5.463122946
85	5.449769562
86	5.437502897
87	5.424038371
88	5.41021167
89	5.393240421
90	5.381514191
91	5.371211458
92	5.360999893
93	5.34977819
94	5.333969352
95	5.324093684
96	5.313075081
97	5.302726603
98	5.288661857
99	5.278097487
100	5.2674262
101	5.258603322
102	5.24829375
103	5.235024908
104	5.221810311
105	5.211523402
106	5.20499937
107	5.195667106
108	5.188703826
109	5.181838708
110	5.169384061
111	5.161454772
112	5.15248096
113	5.146977088
114	5.143454013
115	5.133761969
116	5.126981771
117	5.122052488
118	5.115803806
119	5.111332551
120	5.105627672
121	5.098318647
122	5.09087774
123	5.081436863
124	5.070858512
125	5.064439708
126	5.060539022
127	5.052705227
128	5.046859561
129	5.041359128
130	5.032468842
131	5.023836879
132	5.014225131
133	5.010681724
134	5.003690672
135	4.999543959
136	4.994980458
137	4.991757262
138	4.987556446
139	4.981534266
140	4.976382357
141	4.973264491
142	4.968906304
143	4.961763417
144	4.957680575
145	4.954676761
146	4.949145694
147	4.946184168
148	4.940884389
149	4.93326573
150	4.92694752
151	4.924135577
152	4.917230688
153	4.912787748
154	4.908036276
155	4.900126105
156	4.895206317
157	4.892101243
158	4.883065575
159	4.877233942
160	4.872829541
161	4.866228602
162	4.86206308
163	4.856406881
164	4.852509932
165	4.849460114
166	4.843119628
167	4.840281849
168	4.837525034
169	4.833318157
170	4.829673663
171	4.826097747
172	4.819700893
173	4.81740947
174	4.811711245
175	4.807929365
176	4.804618935
177	4.797990165
178	4.792633804
179	4.788550574
180	4.785864268
181	4.781098556
182	4.777350815
183	4.775234081
184	4.772239045
185	4.766768703
186	4.763454583
187	4.758337591
188	4.753405449
189	4.747452602
190	4.742740014
191	4.738143002
192	4.735238399
193	4.733411859
194	4.726497928
195	4.720879496
196	4.717889678
197	4.714348961
198	4.710162196
199	4.707593047
200	4.701187876
201	4.698760869
202	4.693024479
203	4.687971658
204	4.686267768
205	4.68216576
206	4.68035566
207	4.678503764
208	4.675868703
209	4.670291205
210	4.667197925
211	4.665737076
212	4.662822437
213	4.660612826
214	4.655342522
215	4.65135004
216	4.648560466
217	4.645566069
218	4.643174858
219	4.638471902
220	4.63564397
221	4.628875953
222	4.622045649
223	4.620826955
224	4.619215074
225	4.61710941
226	4.61479205
227	4.614008349
228	4.608082915
229	4.606232372
230	4.601188974
231	4.594926661
232	4.594299131
233	4.591627828
234	4.59029118
235	4.583555163
236	4.577513395
237	4.575151478
238	4.574354327
239	4.568655843
240	4.564211176
241	4.558281593
242	4.556137875
243	4.553467747
244	4.553042212
245	4.550212461
246	4.548813941
247	4.548556265
248	4.546937312
249	4.546746786
250	4.545541742
251	4.542929912
252	4.537196908
253	4.536960824
254	4.534168244
255	4.533974099
256	4.528767275
257	4.526135529
258	4.524740127
259	4.524151916
260	4.516773937
261	4.512405959
262	4.51217224
263	4.50650904
264	4.501671583
265	4.497757762
266	4.495885941
267	4.494498728
268	4.493771888
269	4.488308801
270	4.481400114
271	4.476989565
272	4.472714505
273	4.468980942
274	4.462305375
275	4.456571999
276	4.451102623
277	4.449366824
278	4.446351187
279	4.440817912
280	4.435197645
281	4.430988278
282	4.428390798
283	4.426237013
284	4.422143934
285	4.414765692
286	4.41328779
287	4.409420834
288	4.402350471
289	4.394664377
290	4.39419308
291	4.388795097
292	4.382318464
293	4.377824684
294	4.370959917
295	4.366098927
296	4.36548121
297	4.359661948
298	4.357638652
299	4.35126045
300	4.350982601
301	4.345138557
302	4.34099192
303	4.335353208
304	4.333720181
305	4.328565192
306	4.326029585
307	4.324504173
308	4.320392217
309	4.315838363
310	4.308804488
311	4.303563203
312	4.303470114
313	4.301519933
314	4.30123008
315	4.296449382
316	4.291625632
317	4.289835046
318	4.281775252
319	4.27617188
320	4.27322501
321	4.272768135
322	4.272275788
323	4.267060573
324	4.261800163
325	4.259683508
326	4.254954012
327	4.252516207
328	4.247232463
329	4.245749667
330	4.24549054
331	4.240368268
332	4.240258801
333	4.234947714
334	4.229883018
335	4.225566923
336	4.220641922
337	4.215262128
338	4.211489272
339	4.206314149
340	4.201568983
341	4.200578133
342	4.197551934
343	4.190852767
344	4.183626974
345	4.180045651
346	4.17610103
347	4.175509573
348	4.172576607
349	4.166739272
350	4.164561333
351	4.162733113
352	4.157002889
353	4.151076897
354	4.149519465
355	4.143317944
356	4.138869555
357	4.135320078
358	4.134206423
359	4.13049795
360	4.124327746
361	4.121347125
362	4.114751178
363	4.112001381
364	4.110565879
365	4.108605423
366	4.105026659
367	4.100108045
368	4.098707101
369	4.09151466
370	4.088299808
371	4.084560238
372	4.080676786
373	4.080563991
374	4.074082097
375	4.06944017
376	4.066079735
377	4.06281109
378	4.058640764
379	4.058417971
380	4.054284609
381	4.049093609
382	4.044916272
383	4.040742012
384	4.040242756
385	4.036339974
386	4.029974863
387	4.028619996
388	4.026304373
389	4.02489363
390	4.023181218
391	4.018229297
392	4.015989925
393	4.013687219
394	4.011269716
395	4.0051846
396	4.001279303
397	3.998358191
398	3.997729034
399	3.994457333
400	3.992854463
401	3.988492876
402	3.986851518
403	3.983676924
404	3.980709262
405	3.975616422
406	3.973360701
407	3.97009588
408	3.967818653
409	3.96238782
410	3.960475139
411	3.956831283
412	3.954169077
413	3.952616299
414	3.947910125
